College Name,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,Rank
National Institute of Technology Silchar,1442,22.03,15.09,15.06,24.39,22.73,2.25,2.11,30.81,15.00,16.53,7.82,50
Birla Institute of Technology,13.45,30.00,17.05,15.72,18.52,18.59,1.00,2.10,30.39,15.00,15.06,5.58,51
Graphic Era University,12.75,28.39,15.53,11.97,21.55,21.64,11.00,1414,20.07,14.26,10.95,2.22,52
National Institute of Technology Patna,12.30,19.70,13.45,13.50,22.01,22.39,5.00,2.28,36.78,15.00,14.19,7.84,53
"Indian Institute of Engineering Science and Technology, Shibpur",12.27,23.03,14.85,16.17,17.14,16.50,2.25,1.86,34.72,13.48,13.42,9.30,54
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",14.00,29.97,1439,12.90,18.15,19.37,2.00,0.97,28.44,13.28,13.89,627,55
Indian Institute of Technology Jammu,795,30.00,18.14,24.63,12.38,13.16,0.00,636,25.56,14.25,18.17,2.06,56
Manipal University Jaipur,14.84,29.28,17.07,10.49,15.23,17.11,7.00,0.77,30.50,15.00,12.13,1.01,58
Manipal Institute of Technology,15.89,26.60,15.02,10.76,17.03,20.39,4.00,0.28,2719,14.71,13.75,5.13,59
Madan Mohan Malaviya University of Technology,13.50,30.00,19.38,13.64,946,11.37,0.75,3.17,31.34,15.00,14.35,7.90,60
Indian Institute of Space Science and Technology,8.65,29.18,15.78,22.27,11.84,10.12,1.00,2.23,33.85,13.18,15.90,401,61
Motilal Nehru National Institute of Technology,15.79,18.67,12.90,15.78,16.19,16.81,2.50,2.01,35.03,15.00,17.63,6.70,62
Indraprastha Institute of Information Technology,12.00,24.63,13.67,16.16,12.91,12.72,0.00,454,34.83,15.00,19.95,3.96,63
Indian Institute of Technology Palakkad,723,30.00,16.90,20.16,10.28,10.29,0.75,469,28.80,14.84,17.01,152,64
National Institute of Technology Delhi,8.50,18.95,12.99,22.32,13.63,13.11,0.50,241,34.43,15.00,18.65,3.18,65
Sardar Vallabhbhai National Institute of Technology,13.20,20.86,13.09,15.27,18.57,17.71,425,2.45,2744,14.79,14.28,614,66
Sathyabama Institute of Science and Technology,17.99,28.43,14.44,9.58,13.07,15.24,7.00,1.07,22.27,14.56,10.07,4.79,67
PSG College of Technology,15.19,30.00,15.55,943,9.94,11.16,450,0.70,30.64,14.84,12.17,271,67
International Institute of Information Technology Bangalore,8.19,21.47,12.78,25.89,933,648,0.25,8.13,31.22,15.00,23.58,147,69
Netaji Subhas University of Technology (NSUT),15.48,26.44,14.08,12.09,1141,14.82,0.50,041,32.78,15.00,19.26,673,70
Banasthali Vidyapith,10.89,30.00,18.18,11.34,8.29,11.08,4.00,137,35.21,14.97,13.95,733,71
University of Hyderabad,4.61,30.00,17.50,14.38,25.02,20.39,0.50,4.29,16.43,6.99,14.51,5.51,74
M. S. Ramaiah Institute of Technology,14.50,28.93,15.52,11.43,1141,11.02,5.00,0.59,33.25,15.00,12.56,1.96,75
Christ University,10.15,28.17,16.35,10.97,22.33,19.81,5.00,0.14,12.57,11.39,10.11,0.45,76
Indian Institute of Technology Dharwad,8.04,30.00,17.08,19.88,658,7.02,0.00,4.10,29.84,15.00,17.55,141,77
Rajiv Gandhi Institute of Petroleum Technology,950,30.00,18.02,20.26,618,10.74,0.00,3.20,35.82,15.00,13.79,2.81,78
Sant Longowal Institute of Engineering & Technology,10.00,30.00,15.82,22.29,11.78,13.90,1.00,0.15,24.88,15.00,8.66,2.62,79
"Vignan's Foundation for Science, Technology and Research",17.30,30.00,17.18,7.21,7.58,10.55,2.50,0.89,28.11,15.00,9.68,541,80
Maulana Azad National Institute of Technology,14.72,15.66,11.03,13.33,15.18,16.81,2.50,1.87,36.08,15.00,16.50,5.68,81
"National Institute of Technology, Jamshedpur",12.14,19.54,13.36,14.68,12.51,13.28,125,186,39.31,15.00,15.50,5.98,82
National Institute of Technology Meghalaya,644,26.72,15.61,17.72,14.07,12.75,0.25,3.69,31.89,12.15,15.04,3.23,83
"Jain university,Bangalore",14.05,28.83,16.05,9.56,16.64,17.96,5.00,127,16.16,1139,11.95,3.49,84
National Institute of Technology Kurukshetra,15.19,15.35,9.72,13.49,15.06,18.16,2.50,1.76,3185,15.00,15.34,445,85
"National Institute of Technology, Raipur",13.82,17.54,12.03,1147,17.91,18.64,2.25,1.07,29.73,15.00,14.23,731,86
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,15.50,28.22,16.39,6.60,13.64,15.60,6.00,0.52,22.03,13.99,8.58,141,87
AU College of Engineering (A),11.50,30.00,14.82,19.84,4.04,5.88,1.50,173,26.24,15.00,11.49,9.08,88
Chitkara  University,13.34,16.96,10.01,10.67,17.94,20.40,11.00,0.13,21.32,15.00,12.11,3.49,89
COEP Technological University,14.00,18.25,11.03,17.88,10.05,8.53,2.00,425,35.13,15.00,15.04,2.52,90
SR University,16.50,30.00,18.28,887,857,10.16,3.00,0.06,30.48,15.00,9.61,0.70,91
Defence Institute of Advanced Technology,3.78,27.38,16.57,20.97,13.01,12.23,1.00,9.78,20.75,10.66,19.13,158,92
Panjab University,11.22,17.69,10.31,8.36,19.64,20.20,125,3.37,27.72,12.61,13.10,3.36,93
Jawaharlal Nehru Technological University,15.50,30.00,15.53,14.14,8.86,10.53,1.00,2.00,22.89,15.00,9.87,1.85,94
"C.V. Raman Global University, Odisha",16.50,30.00,1741,13.65,248,5.37,2.00,0.46,31.60,15.00,10.72,2.22,95
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,8.02,22.19,15.14,15.19,8.46,10.16,0.00,1414,38.91,15.00,21.59,1.69,96
National Institute of Technology Hamirpur,13.00,18.24,12.40,11.67,13.63,16.55,125,1.07,32.11,15.00,13.89,433,97
Pandit Deendayal Energy University,15.50,19.89,13.28,12.47,15.34,18.65,4.00,0.84,30.74,15.00,11.60,1.06,98
National Institute of Technology Puducherry,8.68,22.40,15.21,1430,9.72,12.39,2.25,131,30.33,15.00,13.44,3.09,99
Sri Krishna College of Engineering and Technology,14.00,28.90,12.78,12.79,940,9.95,2.50,0.51,36.08,15.00,1144,0.89,100
